Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
Total,,,,1424,62.8607,-5,0,10184,5.68
hWMhwjn-ZKY,5 Ways To Please Maa Kali | Mata's Blessings,"Aug 29, 2021",264,412,11.2545,1,,5179,6.58
ZmszIg0pUo8,Real Stories of Maa Kali,"Jun 12, 2023",14,160,0.2518,3,,715,2.66
2vXL_9J-6Eo,Maa Kali Gayatri Mantra,"Jan 27, 2022",19,132,0.9319,1,,767,3.65
ukmnI0Ww1TI,Maa Gauri Namostute #gauri #shiva,"Mar 14, 2026",171,116,0.536,0,,84,3.57
7yIUKuLiqck,Kali Kavach | Full Body Protection from Disease & Negative Energy,"Apr 29, 2021",573,91,12.9249,0,,314,2.87
LdRm6CM_RGE,Jayanti Mangala Kali #mahakali #blissfulchants #hiva,"Apr 9, 2026",63,65,0.1365,0,,19,10.53
rNOWfVCvwbk,Lime Offering|Maa Kali,"Jun 19, 2023",26,64,0.2404,0,,209,11
yT_ZZrFWei4,Power Of Kreem Beej Mantra Sadhana,"Sep 13, 2022",525,58,1.5997,0,,311,10.29
TMM_RSSNB9A,Powerful Kali Shatnaam|100 Divine Names Of Kali,"Oct 7, 2021",821,46,7.1807,0,,190,3.68
s5kOdX3jNtA,3-Food Offerings | Maa Kali,"Jul 28, 2022",152,41,0.7124,0,,297,10.1
Rb90oU4XRKQ,Shiv Panchakshar Stotra | Feel Shiva | With Lyrics,"Feb 23, 2021",630,34,5.7776,0,,186,0.54
jVB-piPVnFM,Very Powerful Kali Gayatri Chant To Remove Enemies & Sufferings,"Jan 27, 2021",3254,26,11.7962,0,,168,8.33
XESsYYgz7_c,Kali Ashtakam Dhyanam,"Jul 11, 2023",54,25,0.0499,0,,346,1.16
Jb9sZB6ijbY,Kali Ashtakam | Grace & Protection,"Aug 7, 2021",317,19,1.3737,0,,75,2.67
thgW4YsXcaY,Bali to Maa Kali,"Apr 12, 2025",103,19,0.1916,0,,56,10.71
z57UUUCWKn8,Kali Sadhana PDF  #maakalim #sadhana,"Sep 20, 2023",27,14,0.0138,0,,162,0.62
1rR4HQbY14M,Most Powerful Kali Mantra | Kreem: 108 Times,"Sep 26, 2022",666,13,0.2335,0,,118,7.63
dnPdorP4IPw,Maa Kali | Offering Paan (Betel Leaf),"Mar 15, 2022",306,12,0.376,0,,60,11.67
IFA-4Wnk7ZA,Kali Varinashanam Kavach,"Sep 28, 2024",254,10,0.6301,0,,58,1.72
IYPx24RNQpI,Maa Kalratri Protection Mantra | 108 Times,"Feb 2, 2022",667,10,0.5306,0,,84,9.52
3QSM9bF2sqI,Lord Shiva Personality,"Jun 14, 2023",29,8,0.0125,0,,14,0
Rz-bFSpKkEc,Kali Kreem Chanting #maakali #shiva,"Sep 11, 2023",59,8,0.0254,0,,66,6.06
wy4uUGW30RQ,32 Divine Names of Durga | End Fear & Stress,"Feb 9, 2021",2596,7,4.3163,0,,17,41.18
sZeTRYoENJw,Shree Ganesha Gayatri Mantra,"Mar 29, 2026",253,7,0.2426,0,,113,4.42
05XPzPDA3nU,Inviting Maa Kali!,"May 23, 2023",210,5,0.0877,0,,49,8.16
QcwwNsb42WI,Quiz-On-MaaKali-1,"Jun 22, 2023",28,2,0.0018,0,,24,0
4JpQv0JlBAE,Jayanti Mangala Kali,"Nov 7, 2022",31,1,0.0011,0,,5,0
Qh0gVEnGN5Q,Shiv Lingam Pooja,"Jul 22, 2023",235,1,0.0351,0,,7,0
0t36slvzJEU,Cleanse & Purify House | Maa Kali,"Feb 2, 2023",131,1,0.0014,0,,6,16.67
1Lug-aZGBQg,Kailash Trip Details-2024,"Jul 5, 2024",529,1,0.0048,0,,26,0
zvtQmK8xCo8,Maa Kali  Personality,"Jun 13, 2023",27,1,0,0,,12,0
7aW3663FqCA,Krishna Mahamantra | Sacred Chant for Kali-Yuga,,217,1,0.06,0,,0,
3XTLqSxl9tE,Shama Prathana | Forgiveness Chant | 3 Times,"Sep 14, 2021",355,1,0.0028,0,,2,0
MHU7z0srTbU,Kalabhairav Mantra | Dissolve All Fear,"Nov 15, 2022",849,1,0.0042,0,,23,4.35
jQS3y4Nde88,Mt. Kailash-2024 #mountkailash #shiva #kali,"Jul 8, 2024",19,,,,,12,0
noXEipeBJXs,Kali Chalisa Coming Soon....,"Jun 20, 2023",16,,,,,116,0
n9WP0JysFFI,Ya Devi Sarva Bhutessu,"Feb 10, 2024",221,,,,,5,0
4jiS_m7ZcpA,Benefits of Mantra Jaap #shiva #mantra #maakali #spirituality #tantra,"Feb 17, 2023",43,,,,,10,0
i3CDMmD8P4Q,What We Don't Do! #maakali #shiva,"Nov 1, 2023",65,,,,,6,0
0MAV76R03mg,Hanuman Chalisa | 7 Times,"Sep 6, 2021",2534,,,,,4,0
uoFnuyktW1k,Forms of Maa Kali,"May 24, 2022",122,,,,,7,0
nWJpYn2u72s,15 Powerful & Divine Names of Lord Rama,"Nov 4, 2021",427,,,,,5,0
 -WlQKyh57EE,Achyutam Keshvam,"Jul 17, 2021",320,,,,,2,0
0XYh8gMIJMw,Kaliash Sparsh Yatra,"Jul 28, 2025",200,,,,,11,0
 -VoZMqiXBzI,Maa Kali#shorts #maakali,"Feb 2, 2022",17,,,,,3,0
FbzcHfF876E,Mantra Sadhana|Connecting with Divinity,"Jan 28, 2022",751,,,,,3,0
2KJaSjBPooU,Lord Kal Bhairava Facts,"Jun 20, 2023",23,,,,,39,0
uZq4VxzI2uA,Quiz-On-LordKrishna-1,"Jun 23, 2023",27,,,,,3,0
6xyD77kKZ5A,Episode-1-Kailash Yatra,"Aug 10, 2024",159,,,,,7,0
TzY85Ya9l7k,Rare Krishna Mantra | For Fear & Danger,"Feb 4, 2021",965,,,,,11,0
dGnKuaCnKkA,Pyari Maa Kali,"Sep 21, 2022",59,,,,,3,0
KZDlkd4IvLU,Episode-3-Kailash-Mansarovar,"Aug 29, 2024",226,,,,,8,0
SzF5zl7MjaE,Shiv Panchakshar-1,"Jun 18, 2023",27,,,,,9,0
UaYcxqGbAO4,Kashi Ganga Darshan #spiritual #shiva,"Jun 6, 2023",20,,,,,5,0
M0bZX6R-ADo,More Powerful Than Navaran Mantra | Navaran Maha-Mantra,"May 28, 2022",340,,,,,6,0
SllcwOlJfEU,Lord Krishna Qualities,"Jun 16, 2023",23,,,,,7,0
dlrIzFwQi1A,Kailash Masarovar Yatra,"Jun 23, 2024",13,,,,,8,0
BvU25vfqDMo,Shree Ram Maha Mantra | Awaken Rama Within!,"Feb 2, 2021",1553,,,,,3,0
Aj02bzv5fI8,Hai Kailash Meri Aasha,"Sep 12, 2024",196,,,,,12,0
uEZnpduhEgQ,Om Namah Shivay - Chant to God's Heart,"Jan 31, 2021",4313,,,,,4,0
9nvXbto_fVI,Lord Rama #shorts #lordrama #maakali #lordshiva,"Feb 2, 2022",42,,,,,4,0
XV7jvFFK6NM,Shubh Navratri 2023 #maakali #shiva #navratri,"Oct 15, 2023",53,,,,,5,0
la5qbmnQwOk,Quiz-On-LordShiva-1,"Jun 22, 2023",40,,,,,18,0
I_dtikXhE2M,The Divine Kali Chalisa,"Jun 24, 2023",384,,,,,12,0
0QQO08zIsRA,Lord Hanuman Personality,"Jun 15, 2023",30,,,,,5,0
noEJr1t5flw,Jai Kailash Nivasini #mountkailash #kali,"Jul 9, 2024",18,,,,,15,0
QR0r3CcR_Js,Mahadev-Mata Darshan,"Jan 1, 2023",31,,,,,4,0
Scos-Tn6Www,OM Chant - Relax & Rejuvenate Your Self!,"Jan 25, 2021",1774,,,,,5,0
2Gvg9IUPCX4,Episode-2-Kailash Yatra,"Aug 23, 2024",205,,,,,7,0
6cSu3mniKIc,Shiv Rudrashtakam,"Jul 11, 2021",277,,,,,4,0
